Date,Open,High,Low,Close,Volume,Symbol,YTD Gains
31-12-2002,6.420000076,6.550000191,6.269999981,6.460000038,4323200,AMD,0
02-01-2003,6.559999943,7.110000134,6.46999979,7.010000229,17474800,AMD,0.085139348
03-01-2003,7.010000229,7.190000057,6.860000134,6.940000057,6235700,AMD,0.074303408
06-01-2003,7.050000191,7.230000019,7,7.159999847,6833200,AMD,0.108359103
07-01-2003,7.25,7.480000019,7.099999905,7.170000076,9785100,AMD,0.109907126
08-01-2003,7.059999943,7.099999905,6.630000114,6.690000057,13952300,AMD,0.035603718
09-01-2003,6.920000076,7.010000229,6.849999905,6.909999847,9901000,AMD,0.069659413
10-01-2003,6.909999847,7.550000191,6.809999943,7.409999847,15492500,AMD,0.147058793
13-01-2003,7.679999828,7.789999962,7.199999809,7.449999809,8910500,AMD,0.153250738
14-01-2003,7.5,7.650000095,7.369999886,7.429999828,7821600,AMD,0.150154765
15-01-2003,7.489999771,7.489999771,7.139999866,7.449999809,6423800,AMD,0.153250738
16-01-2003,7.369999886,7.489999771,6.920000076,7.199999809,10022000,AMD,0.114551047
17-01-2003,6.349999905,6.400000095,5.849999905,6.03000021,23198900,AMD,-0.066563441
21-01-2003,6.119999886,6.190000057,5.949999809,6,8814300,AMD,-0.071207436
22-01-2003,6,6.039999962,5.710000038,5.71999979,8840100,AMD,-0.114551121
23-01-2003,5.800000191,5.940000057,5.5,5.650000095,8632800,AMD,-0.125386987
24-01-2003,5.650000095,5.650000095,5.340000153,5.429999828,6597600,AMD,-0.159442756
27-01-2003,5.369999886,5.599999905,5.25,5.28000021,5188700,AMD,-0.182662511
28-01-2003,5.289999962,5.420000076,5.199999809,5.300000191,6159100,AMD,-0.179566539
29-01-2003,5.300000191,5.650000095,5.210000038,5.610000134,6044500,AMD,-0.131578932
30-01-2003,5.610000134,5.650000095,5.159999847,5.170000076,7525400,AMD,-0.199690395
31-01-2003,5.050000191,5.269999981,4.989999771,5.239999771,10069200,AMD,-0.188854529
03-02-2003,5.239999771,5.239999771,5.010000229,5.050000191,7192400,AMD,-0.218266229
04-02-2003,5.039999962,5.099999905,4.880000114,5.059999943,6144700,AMD,-0.21671828
05-02-2003,5.070000172,5.25,5.010000229,5.03000021,4906800,AMD,-0.221362201
06-02-2003,5.03000021,5.199999809,4.980000019,5.070000172,3548900,AMD,-0.215170257
07-02-2003,5.139999866,5.199999809,5.010000229,5.039999962,3788100,AMD,-0.219814252
10-02-2003,5.050000191,5.230000019,5.039999962,5.170000076,4184800,AMD,-0.199690395
11-02-2003,5.170000076,5.269999981,5.070000172,5.079999924,3590800,AMD,-0.213622307
12-02-2003,5.079999924,5.139999866,4.900000095,4.940000057,5085100,AMD,-0.235294113
