Date,Open,High,Low,Close,Volume,Symbol,YTD Gains
31-12-2002,12.94999981,13.17000008,12.89999962,13.10000038,46597500,CSCO,0
02-01-2003,13.10999966,13.68999958,13.09000015,13.64000034,61335700,CSCO,0.04122137
03-01-2003,13.57999992,13.96000004,13.56000042,13.90999985,50891700,CSCO,0.061832019
06-01-2003,14.01000023,14.42000008,13.97999954,14.19999981,58936700,CSCO,0.08396942
07-01-2003,14.30000019,14.69999981,14.23999977,14.60000038,83998600,CSCO,0.114503813
08-01-2003,14.47999954,14.75,14.36999989,14.43999958,75927000,CSCO,0.102290012
09-01-2003,14.69999981,15.10999966,14.64999962,14.94999981,75284400,CSCO,0.141221326
10-01-2003,14.84000015,15.46000004,14.82999992,15.22000027,91193900,CSCO,0.161832048
13-01-2003,15.47000027,15.52000046,15.03999996,15.27999973,66314800,CSCO,0.166412159
14-01-2003,15.30000019,15.63000011,15.28999996,15.57999992,69977900,CSCO,0.189312937
15-01-2003,15.56999969,15.63000011,15.13000011,15.18000031,61992300,CSCO,0.158778616
16-01-2003,15.07999992,15.30000019,14.78999996,14.89999962,65668200,CSCO,0.137404518
17-01-2003,14.68999958,14.72000027,14.05000019,14.13000011,81310000,CSCO,0.078625932
21-01-2003,14.22000027,14.5,14.14999962,14.18000031,62930800,CSCO,0.08244274
22-01-2003,14.18999958,14.38000011,13.89999962,13.96000004,64965500,CSCO,0.065648827
23-01-2003,14.27999973,14.75,14.11999989,14.59000015,62491200,CSCO,0.113740437
24-01-2003,14.55000019,14.56000042,13.80000019,13.85999966,70564100,CSCO,0.05801521
27-01-2003,13.60999966,14.06999969,13.56000042,13.71000004,58554700,CSCO,0.046564858
28-01-2003,13.88000011,14.32999992,13.80000019,14.22000027,64116500,CSCO,0.085496172
29-01-2003,14.17000008,14.17000008,13.78999996,14.07999992,71861700,CSCO,0.074809123
30-01-2003,14.25,14.35999966,13.82999992,13.86999989,68226500,CSCO,0.058778586
31-01-2003,13.56000042,13.73999977,13.15999985,13.36999989,103330200,CSCO,0.020610649
03-02-2003,13.52000046,13.80000019,13.38000011,13.47999954,65976600,CSCO,0.029007569
04-02-2003,13.23999977,13.23999977,12.86999989,13.19999981,110586200,CSCO,0.007633544
05-02-2003,13.31000042,13.60000038,13.10000038,13.19999981,115080200,CSCO,0.007633544
06-02-2003,13.10999966,13.40999985,13.06999969,13.23999977,58738900,CSCO,0.010686976
07-02-2003,13.34000015,13.43999958,12.65999985,12.85000038,69851700,CSCO,-0.019083969
10-02-2003,12.92000008,13.23999977,12.77999973,13.14999962,55955700,CSCO,0.003816736
11-02-2003,13.31999969,13.60000038,13.26000023,13.47000027,71241800,CSCO,0.028244265
12-02-2003,13.43999958,13.64999962,13.18999958,13.19999981,58732000,CSCO,0.007633544
